perturbation,expected_damaged_layer,delta
coordinate_shuffle,spatial,-0.002745340133320607
copy_reference,similarity,-0.008892701425348811
copy_reference_jitter_high,,-0.008473371927968461
copy_reference_jitter_low,,-0.008864657930171146
copy_reference_jitter_medium,,-0.00878372718351131
dropout_inflation_high,expression,0.0019436506967768815
dropout_inflation_low,expression,0.00031197257069564156
dropout_inflation_medium,expression,0.0005228602442504506
gene_shuffle,expression,0.7952318873171471
invalid_coordinates_control,spatial,-0.00402714132268498
label_shuffle,proximity,-0.0009222981010726964
library_size_resampling_high,expression,2.5518887797318986e-05
library_size_resampling_low,expression,-1.998895824209887e-06
library_size_resampling_medium,expression,4.408138206368187e-06
missing_label_control,proximity,-0.0023638264428061375
random_spatial_field_injection_low,spatial_gene,0.010920669278851132
random_spatial_field_injection_medium,spatial_gene,0.043055026887356754
spatial_jitter_high,spatial,-0.0015459310538995345
spatial_jitter_low,spatial,-0.00035878273947307325
spatial_jitter_medium,spatial,-0.0007546989282271694
spatial_smoothing_high,spatial_gene,-7.911939913555566e-05
spatial_smoothing_low,spatial_gene,-0.0002474049365843102
spatial_smoothing_medium,spatial_gene,-6.700050144713967e-05
