run_scope,platform,dataset_variant,simulator,real_h5ad,simulated_h5ad,coordinate_key_real,coordinate_key_sim,label_key_real,label_key_sim,notes
beastsim_faithful,MERFISH,Spapros,SRTsim-rb-domain,data/real_st_spapros_merfish.h5ad,data/SRTsim_merfish_spapros_rb_domain.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,Spapros,SRTsim-rb-tissue,data/real_st_spapros_merfish.h5ad,data/SRTsim_merfish_spapros_rb_tissue.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,Spapros,SRTsim-rf-domain,data/real_st_spapros_merfish.h5ad,data/SRTsim_merfish_spapros_rf_domain_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,Spapros,SRTsim-rf-tissue,data/real_st_spapros_merfish.h5ad,data/SRTsim_merfish_spapros_rf_tissue_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,Spapros,scCube-rfb,data/real_st_spapros_merfish.h5ad,data/scCube_merfish_spapros_rfb.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,Spapros,scDesign3-rb,data/real_st_spapros_merfish.h5ad,data/scDesign3_merfish_spapros_rb_p1_f1_b0.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,SpatialDE,SRTsim-rb-domain,data/real_st_spatialde_merfish.h5ad,data/SRTsim_merfish_spatialde_rb_domain.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,SpatialDE,SRTsim-rb-tissue,data/real_st_spatialde_merfish.h5ad,data/SRTsim_merfish_spatialde_rb_tissue.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,SpatialDE,SRTsim-rf-domain,data/real_st_spatialde_merfish.h5ad,data/SRTsim_merfish_spatialde_rf_domain_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,SpatialDE,SRTsim-rf-tissue,data/real_st_spatialde_merfish.h5ad,data/SRTsim_merfish_spatialde_rf_tissue_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,SpatialDE,scCube-rfb,data/real_st_spatialde_merfish.h5ad,data/scCube_merfish_spatialde_rfb.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,MERFISH,SpatialDE,scDesign3-rb,data/real_st_spatialde_merfish.h5ad,data/scDesign3_merfish_spatialde_rb_p1_f1_b0.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,Spapros,SRTsim-rb-domain,data/Visium_Mouse_Brain_SPAPROS_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spapros_rb_domain.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,Spapros,SRTsim-rb-tissue,data/Visium_Mouse_Brain_SPAPROS_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spapros_rb_tissue.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,Spapros,SRTsim-rf-domain,data/Visium_Mouse_Brain_SPAPROS_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spapros_rf_domain_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,Spapros,SRTsim-rf-tissue,data/Visium_Mouse_Brain_SPAPROS_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spapros_rf_tissue_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,Spapros,scCube-rfb,data/Visium_Mouse_Brain_SPAPROS_filtered_celltypes_annotated.h5ad,data/scCube_visium_spapros_rfb.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,Spapros,scDesign3-rb,data/Visium_Mouse_Brain_SPAPROS_filtered_celltypes_annotated.h5ad,data/scDesign3_visium_spapros_rb_p1_f1_b0.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,Spapros,SpatialcoGCN-rb,data/Visium_Mouse_Brain_SPAPROS_filtered_celltypes_annotated.h5ad,data/spatialcoGCN_-_rb_-_spapros.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,SpatialDE,SRTsim-rb-domain,data/Visium_Mouse_Brain_SpatialDE_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spatialde_rb_domain.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,SpatialDE,SRTsim-rb-tissue,data/Visium_Mouse_Brain_SpatialDE_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spatialde_rb_tissue.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,SpatialDE,SRTsim-rf-domain,data/Visium_Mouse_Brain_SpatialDE_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spatialde_rf_domain_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,SpatialDE,SRTsim-rf-tissue,data/Visium_Mouse_Brain_SpatialDE_filtered_celltypes_annotated.h5ad,data/SRTsim_visium_spatialde_rf_tissue_grid_c1.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,SpatialDE,scCube-rfb,data/Visium_Mouse_Brain_SpatialDE_filtered_celltypes_annotated.h5ad,data/scCube_visium_spatialde_rfb.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Visium,SpatialDE,SpatialcoGCN-rb,data/Visium_Mouse_Brain_SpatialDE_filtered_celltypes_annotated.h5ad,data/spatialcoGCN_-_rb_-_spatialde.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Xenium,Xenium,SRTsim-rb-domain,data/Xenium-colon_annotated_preprocessed_0.5x_0.5y.h5ad,data/SRTsim_rb_domain.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Xenium,Xenium,SRTsim-rb-tissue,data/Xenium-colon_annotated_preprocessed_0.5x_0.5y.h5ad,data/SRTsim_rb_tissue.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Xenium,Xenium,scCube-rb,data/Xenium-colon_annotated_preprocessed_0.5x_0.5y.h5ad,data/scCube_rb.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
beastsim_faithful,Xenium,Xenium,scDesign3-rb,data/Xenium-colon_annotated_preprocessed_0.5x_0.5y.h5ad,data/scDesign3_rb_p1_f1_b0.h5ad,obsm/spatial,obsm/spatial,obs/cell_type,obs/cell_type,BEASTsim-faithful variant
